Name,Description,Type,Conversion,Unit,Decimals,Comments
Inv07_DC09_Amps,Inv07_DC09_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC10_Amps,Inv07_DC10_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC11_Amps,Inv07_DC11_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC12_Amps,Inv07_DC12_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv07_DC1_Volt,Inv07_DC1_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv07_DC_Power,Inv07_DC_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv07_Fault_Code,Inv07_Fault_Code,Data source,RawData × 1,,2,Instantaneous value
Inv07_Freq,Inv07_Freq,Data source,RawData ÷ 10,Hz,2,Instantaneous value
Inv07_LL_Volt,Inv07_LL_Volt,Data source,Brookefield_Inv_LL_Volt,V,2,Instantaneous value
Inv07_Pf,Inv07_Pf,Data source,RawData ÷ 1000,,2,Instantaneous value
Inv07_R_Amps,Inv07_R_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv07_R_Volt,Inv07_R_Volt,Data source,RawData ÷ 10,V,2,Instantaneous value
Inv07_Status,Inv07_Status,Data source,RawData × 1,,2,Instantaneous value
Inv07_Temp,Inv07_Temp,Data source,RawData ÷ 10,ºC,2,Instantaneous value
Inv07_Today_Energy,Inv07_Today_Energy,Data source,RawData ÷ 10,kWh,2,Incremental value
Inv07_Today_Run,Inv07_Today_Run,Data source,RawData × 1,min,2,Incremental value
Inv07_Total_Energy,Inv07_Total_Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Inv07_Total_Run,Inv07_Total_Run,Data source,RawData × 1,h,2,Incremental value
Inv07_Y_Amps,Inv07_Y_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv08_Act_Power,Inv08_Act_Power,Data source,RawData ÷ 1000,kW,2,Instantaneous value
Inv08_B_Amps,Inv08_B_Amps,Data source,RawData ÷ 10,A,2,Instantaneous value
Inv08_DC01_Amps,Inv08_DC01_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC02_Amps,Inv08_DC02_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC03_Amps,Inv08_DC03_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC04_Amps,Inv08_DC04_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC05_Amps,Inv08_DC05_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC06_Amps,Inv08_DC06_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC07_Amps,Inv08_DC07_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
Inv08_DC08_Amps,Inv08_DC08_Amps,Data source,RawData ÷ 100,A,2,Instantaneous value
